,id,curiosity_je,curiosity_ds,curiosity_st,curiosity_sc,curiosity_ts,lambda_,tau,beta,r2_guassian,r2_ucb
0,0,2.6,5.6,5.2,4.6,2.2,1.7817125767536242,-1.2845909114524432,-4.999978877473104,0.0688061697245556,0.0896917467962921
1,1,5.8,5.4,3.4,1.6,1.6,-0.8142756835081175,-1.8019522817414584,-3.3833604369995487,0.2022209654331032,0.2066143193634709
2,2,2.0,2.2,2.2,2.0,1.2,1.3394249403505916,-1.375844223328487,-4.999989297062738,0.1867585764283931,0.1865495998377381
3,3,3.8,3.0,3.2,6.6,2.4,-4.999985748692038,-2.234687674565417,1.4714684082214058,0.058985801781268,0.0837102111838784
4,4,4.8,5.2,3.4,6.2,1.8,-0.7649923471554065,-2.8373286257284103,3.162644074069009,0.0073332631269907,0.0804501667146365
5,5,2.8,5.2,4.0,5.4,1.8,-4.999983665655054,-2.6878243771367454,1.7433059971232112,0.2715634720676684,0.5049458510178033
6,6,3.4,4.6,2.2,1.4,1.0,1.7011096784960176,-1.7802064133452415,-0.2948162614488863,0.101226144644981,0.1169861335745104
7,7,6.2,5.0,5.4,5.8,3.6,-0.5635196464035395,-2.397498762970501,1.4981147860866375,0.2660049675065781,0.3997118431879528
8,8,4.2,3.0,5.6,5.0,3.2,0.0822788129590785,-1.2891820127261622,-4.875020347901952,0.1089684778144627,0.1087536822233855
9,9,5.8,6.0,2.8,6.2,2.0,-1.179662772029359,-4.085087144321767,1.9149103694482363,0.0424505020537776,0.0783901945531891
10,10,3.2,5.8,3.6,2.0,1.8,-4.8771699353129625,1.7444334958217569,2.21339713434596,0.0018976780174689,0.0009956642869147
11,11,4.4,5.2,2.4,3.8,3.2,1.3079822482289034,-0.7580182521474146,-4.999853704548197,0.1832262144176474,0.183208734852654
12,12,3.2,5.4,5.6,4.6,2.2,0.9834284173740292,-1.7758848835277177,0.7637872689631695,0.251630377120056,0.28734083637673
13,13,5.4,3.0,6.4,4.2,3.8,1.054603161739247,-1.866974093301796,-4.888348309206768,0.2009717572270843,0.2000812308357036
14,14,3.8,4.2,2.6,2.6,2.2,1.2254740190886275,-0.9251431955843268,-4.977226412830502,0.1024143130523912,0.102413359277891
15,15,6.6,6.0,6.4,5.4,6.0,-0.4565045854810017,-0.171963300631368,4.999993024922718,-2.402785703847776e-05,0.0678445007927982
