"","id","total_correct","total_hit","total_fa","aprime","dprime"
"1",0,15,7,0,0.96875,Inf
"2",1,11,4,1,0.794642857142857,1.15034938037601
"3",2,15,7,0,0.96875,Inf
"4",3,16,8,0,1,Inf
"5",4,16,8,0,1,Inf
"6",5,15,7,0,0.96875,Inf
"7",6,16,8,0,1,Inf
"8",7,12,4,0,0.875,Inf
"9",8,14,6,0,0.9375,Inf
"10",9,16,8,0,1,Inf
"11",10,14,6,0,0.9375,Inf
"12",11,16,8,0,1,Inf
"13",12,14,6,0,0.9375,Inf
"14",13,16,8,0,1,Inf
"15",14,16,8,0,1,Inf
"16",15,14,6,0,0.9375,Inf
"17",16,14,7,1,0.928571428571429,2.30069876075202
"18",17,16,8,0,1,Inf
"19",18,16,8,0,1,Inf
"20",19,15,8,1,0.96875,Inf
"21",20,15,7,0,0.96875,Inf
"22",21,15,8,1,0.96875,Inf
"23",22,8,8,8,NA,NA
"24",23,16,8,0,1,Inf
"25",24,16,8,0,1,Inf
"26",25,8,0,0,NA,NA
"27",26,15,7,0,0.96875,Inf
"28",27,14,6,0,0.9375,Inf
"29",28,15,7,0,0.96875,Inf
"30",29,16,8,0,1,Inf
"31",30,15,8,1,0.96875,Inf
"32",31,15,7,0,0.96875,Inf
"33",32,15,7,0,0.96875,Inf
"34",33,15,7,0,0.96875,Inf
"35",34,16,8,0,1,Inf
"36",35,16,8,0,1,Inf
"37",36,16,8,0,1,Inf
"38",37,16,8,0,1,Inf
"39",38,16,8,0,1,Inf
"40",39,15,7,0,0.96875,Inf
"41",40,16,8,0,1,Inf
"42",41,15,7,0,0.96875,Inf
"43",42,15,7,0,0.96875,Inf
"44",43,16,8,0,1,Inf
"45",44,13,5,0,0.90625,Inf
"46",45,16,8,0,1,Inf
"47",46,12,4,0,0.875,Inf
"48",47,16,8,0,1,Inf
"49",48,15,8,1,0.96875,Inf
"50",49,16,8,0,1,Inf
"51",50,16,8,0,1,Inf
"52",51,14,8,2,0.9375,Inf
"53",52,16,8,0,1,Inf
"54",53,15,7,0,0.96875,Inf
"55",54,9,1,0,0.78125,Inf
"56",55,16,8,0,1,Inf
"57",56,15,7,0,0.96875,Inf
"58",57,16,8,0,1,Inf
"59",58,14,6,0,0.9375,Inf
"60",59,16,8,0,1,Inf
"61",60,15,7,0,0.96875,Inf
"62",61,14,6,0,0.9375,Inf
"63",62,14,6,0,0.9375,Inf
"64",63,16,8,0,1,Inf
"65",64,16,8,0,1,Inf
"66",65,12,7,3,0.842857142857143,1.46898874434038
"67",66,10,2,0,0.8125,Inf
"68",67,16,8,0,1,Inf
"69",68,14,6,0,0.9375,Inf
"70",69,13,6,1,0.886904761904762,1.82483913057209
"71",70,16,8,0,1,Inf
"72",71,16,8,0,1,Inf
"73",72,16,8,0,1,Inf
"74",73,9,5,4,0.6125,0.318639363964375
"75",74,14,6,0,0.9375,Inf
"76",75,16,8,0,1,Inf
"77",76,15,7,0,0.96875,Inf
"78",77,16,8,0,1,Inf
"79",78,13,5,0,0.90625,Inf
"80",79,15,8,1,0.96875,Inf
"81",80,16,8,0,1,Inf
"82",81,15,7,0,0.96875,Inf
"83",82,11,5,2,0.775,0.993129114160457
"84",83,16,8,0,1,Inf
"85",84,16,8,0,1,Inf
"86",85,13,5,0,0.90625,Inf
"87",86,14,6,0,0.9375,Inf
"88",87,16,8,0,1,Inf
"89",88,15,7,0,0.96875,Inf
"90",89,14,6,0,0.9375,Inf
"91",90,13,5,0,0.90625,Inf
"92",91,16,8,0,1,Inf
"93",92,13,5,0,0.90625,Inf
"94",93,15,8,1,0.96875,Inf
"95",94,16,8,0,1,Inf
"96",95,16,8,0,1,Inf
"97",96,15,8,1,0.96875,Inf
"98",97,16,8,0,1,Inf
"99",98,16,8,0,1,Inf
"100",99,13,6,1,0.886904761904762,1.82483913057209
"101",100,16,8,0,1,Inf
"102",101,14,6,0,0.9375,Inf
"103",102,9,4,3,0.6125,0.318639363964375
"104",103,15,8,1,0.96875,Inf
"105",104,9,6,5,0.625,0.355850386231707
"106",105,16,8,0,1,Inf
"107",106,16,8,0,1,Inf
"108",107,13,5,0,0.90625,Inf
"109",108,15,8,1,0.96875,Inf
"110",109,16,8,0,1,Inf
"111",110,14,6,0,0.9375,Inf
"112",111,16,8,0,1,Inf
"113",112,16,8,0,1,Inf
"114",113,16,8,0,1,Inf
"115",114,16,8,0,1,Inf
"116",115,16,8,0,1,Inf
"117",116,16,8,0,1,Inf
"118",117,16,8,0,1,Inf
"119",118,16,8,0,1,Inf
"120",119,11,4,1,0.794642857142857,1.15034938037601
"121",120,16,8,0,1,Inf
"122",121,16,8,0,1,Inf
"123",122,16,8,0,1,Inf
"124",123,16,8,0,1,Inf
"125",124,15,7,0,0.96875,Inf
"126",125,16,8,0,1,Inf
"127",126,15,7,0,0.96875,Inf
"128",127,16,8,0,1,Inf
"129",128,13,5,0,0.90625,Inf
"130",129,16,8,0,1,Inf
"131",130,16,8,0,1,Inf
"132",131,15,7,0,0.96875,Inf
"133",132,16,8,0,1,Inf
"134",133,16,8,0,1,Inf
"135",134,16,8,0,1,Inf
"136",135,14,6,0,0.9375,Inf
"137",136,16,8,0,1,Inf
"138",137,14,8,2,0.9375,Inf
"139",138,16,8,0,1,Inf
"140",139,16,8,0,1,Inf
"141",140,13,5,0,0.90625,Inf
"142",141,16,8,0,1,Inf
"143",142,16,8,0,1,Inf
"144",143,16,8,0,1,Inf
"145",144,13,7,2,0.886904761904762,1.82483913057209
"146",145,15,7,0,0.96875,Inf
"147",146,15,7,0,0.96875,Inf
"148",147,11,3,0,0.84375,Inf
"149",148,16,8,0,1,Inf
"150",149,16,8,0,1,Inf
"151",150,16,8,0,1,Inf
"152",151,16,8,0,1,Inf
"153",152,14,8,2,0.9375,Inf
"154",153,16,8,0,1,Inf
"155",154,16,8,0,1,Inf
"156",155,14,6,0,0.9375,Inf
"157",156,16,8,0,1,Inf
"158",157,16,8,0,1,Inf
"159",158,16,8,0,1,Inf
"160",159,15,7,0,0.96875,Inf
"161",160,15,7,0,0.96875,Inf
"162",161,11,6,3,0.775,0.993129114160457
"163",162,16,8,0,1,Inf
"164",163,12,5,1,0.842857142857143,1.46898874434038
"165",164,16,8,0,1,Inf
"166",165,9,4,3,0.6125,0.318639363964375
"167",166,16,8,0,1,Inf
"168",167,15,8,1,0.96875,Inf
"169",168,14,6,0,0.9375,Inf
"170",169,6,3,5,0.3,-0.63727872792875
"171",170,13,7,2,0.886904761904762,1.82483913057209
"172",171,16,8,0,1,Inf
"173",172,15,7,0,0.96875,Inf
"174",173,16,8,0,1,Inf
"175",174,16,8,0,1,Inf
"176",175,14,6,0,0.9375,Inf
"177",176,14,6,0,0.9375,Inf
"178",177,7,5,6,0.375,-0.355850386231707
"179",178,16,8,0,1,Inf
"180",179,16,8,0,1,Inf
"181",180,14,8,2,0.9375,Inf
"182",181,16,8,0,1,Inf
"183",182,14,7,1,0.928571428571429,2.30069876075202
"184",183,10,6,4,0.708333333333333,0.674489750196082
"185",184,15,7,0,0.96875,Inf
"186",185,14,6,0,0.9375,Inf
"187",186,15,7,0,0.96875,Inf
"188",187,16,8,0,1,Inf
"189",188,15,7,0,0.96875,Inf
"190",189,16,8,0,1,Inf
"191",190,16,8,0,1,Inf
"192",191,15,7,0,0.96875,Inf
"193",192,15,7,0,0.96875,Inf
"194",193,14,6,0,0.9375,Inf
"195",194,9,6,5,0.625,0.355850386231707
"196",195,16,8,0,1,Inf
"197",196,16,8,0,1,Inf
"198",197,14,7,1,0.928571428571429,2.30069876075202
"199",198,12,4,0,0.875,Inf
"200",199,15,7,0,0.96875,Inf
"201",200,16,8,0,1,Inf
